Date,Mid Price
2003-11-25,16.633
2003-11-26,16.531
2003-11-27,16.467
2003-11-28,16.424
2003-12-01,16.334
2003-12-02,16.281
2003-12-03,16.139
2003-12-04,16.011
2003-12-05,16.017
2003-12-08,15.89
2003-12-09,15.804
2003-12-10,15.853
2003-12-11,15.778
2003-12-12,15.739
2003-12-15,15.735
2003-12-16,15.654
2003-12-17,15.607
2003-12-18,15.836
2003-12-19,15.873
2003-12-22,15.898
2003-12-23,15.887
2003-12-24,15.884
2003-12-26,15.941
2003-12-29,15.93
2003-12-30,15.927
2003-12-31,15.931
2004-01-02,15.912
2004-01-05,15.908
2004-01-06,15.782
2004-01-07,15.77
2004-01-08,15.601
2004-01-09,15.509
2004-01-12,15.495
2004-01-13,15.387
2004-01-14,15.505
2004-01-15,15.542
2004-01-16,15.492
2004-01-19,15.527
2004-01-20,15.541
2004-01-21,15.595
2004-01-22,16.124
2004-01-23,16.112
2004-01-26,16.121
2004-01-27,16.139
2004-01-28,16.157
2004-01-29,16.214
2004-01-30,16.205
2004-02-02,16.175
2004-02-03,16.138
2004-02-04,16.116
2004-02-05,16.101
2004-02-06,16.097
2004-02-09,16.059
2004-02-10,16.037
2004-02-11,16.003
2004-02-12,15.961
2004-02-13,15.977
2004-02-16,15.902
2004-02-17,15.912
2004-02-18,15.95
2004-02-19,16.035
2004-02-20,16.087
2004-02-25,15.995
2004-02-26,16.142
2004-02-27,16.145
2004-03-01,16.087
2004-03-02,16.064
2004-03-03,16.066
2004-03-04,16.065
2004-03-05,16.024
2004-03-08,15.936
2004-03-09,16.005
2004-03-10,16.093
2004-03-11,16.039
2004-03-12,15.986
2004-03-15,15.956
2004-03-16,15.891
2004-03-17,15.847
2004-03-18,15.757
2004-03-19,15.747
2004-03-22,15.727
2004-03-23,15.727
2004-03-24,15.842
2004-03-25,15.793
2004-03-26,15.728
2004-03-29,15.673
2004-03-30,15.673
2004-03-31,15.65
2004-04-01,15.635
2004-04-02,15.625
2004-04-05,15.579
2004-04-06,15.575
2004-04-07,15.704
2004-04-08,15.721
2004-04-12,15.754
2004-04-13,15.701
2004-04-14,15.686
2004-04-15,15.735
2004-04-16,15.702
2004-04-19,15.651
2004-04-20,15.676
2004-04-22,15.707
2004-04-23,15.674
2004-04-26,15.674
2004-04-27,15.586
2004-04-28,15.603
2004-04-29,15.687
2004-04-30,15.63
2004-05-03,15.677
2004-05-04,15.642
2004-05-05,15.594
2004-05-06,15.635
2004-05-07,15.702
2004-05-10,16.14
2004-05-11,15.916
2004-05-12,16.036
2004-05-13,16.195
2004-05-14,15.965
2004-05-17,16.037
2004-05-18,15.92
2004-05-19,15.953
2004-05-20,16.422
2004-05-21,16.506
2004-05-24,16.409
2004-05-25,16.361
2004-05-26,16.524
2004-05-27,16.341
2004-05-28,16.417
2004-05-31,16.539
2004-06-01,16.448
2004-06-02,16.348
2004-06-03,16.421
2004-06-04,16.315
2004-06-07,16.226
2004-06-08,16.168
2004-06-09,16.179
2004-06-11,16.208
2004-06-14,16.326
2004-06-15,16.096
2004-06-16,16.098
2004-06-17,16.112
2004-06-18,16.14
2004-06-21,16.151
2004-06-22,16.123
2004-06-23,16.105
2004-06-24,15.988
2004-06-25,16.037
2004-06-28,16.123
2004-06-29,16.044
2004-06-30,16.059
2004-07-01,15.989
2004-07-02,15.947
2004-07-05,15.951
2004-07-06,16.011
2004-07-07,16.043
2004-07-08,16.119
2004-07-09,16.128
2004-07-12,16.064
2004-07-13,16.06
2004-07-14,16.065
2004-07-15,16.041
2004-07-16,16.042
2004-07-19,16.052
2004-07-20,16.053
2004-07-21,16.125
2004-07-22,16.12
2004-07-23,16.169
2004-07-26,16.179
2004-07-27,16.179
2004-07-28,16.135
2004-07-29,16.203
2004-07-30,16.281
2004-08-02,16.294
2004-08-03,16.274
2004-08-04,16.365
2004-08-05,16.489
2004-08-06,16.317
2004-08-09,16.332
2004-08-10,16.335
2004-08-11,16.302
2004-08-12,16.362
2004-08-13,16.396
2004-08-16,16.338
2004-08-17,16.343
2004-08-18,16.292
2004-08-19,16.27
2004-08-20,16.245
2004-08-23,16.262
2004-08-24,16.286
2004-08-25,16.322
2004-08-26,16.393
2004-08-27,16.539
2004-08-30,16.539
2004-08-31,16.59
2004-09-01,16.622
2004-09-02,16.653
2004-09-03,16.635
2004-09-06,16.696
2004-09-08,16.745
2004-09-09,16.772
2004-09-10,16.901
2004-09-13,16.916
2004-09-14,16.859
2004-09-15,16.868
2004-09-16,16.764
2004-09-17,16.764
2004-09-20,16.783
2004-09-21,16.805
2004-09-22,16.844
2004-09-23,16.802
2004-09-24,16.796
2004-09-27,16.808
2004-09-28,16.817
2004-09-29,16.816
2004-09-30,16.82
2004-10-01,16.843
2004-10-04,16.827
2004-10-05,16.841
2004-10-06,16.893
2004-10-07,16.907
2004-10-08,16.905
2004-10-11,16.929
2004-10-13,16.952
2004-10-14,17.004
2004-10-15,16.992
2004-10-18,17.04
2004-10-19,17.047
2004-10-20,17.066
2004-10-21,17.315
2004-10-22,17.35
2004-10-25,17.406
2004-10-26,17.427
2004-10-27,17.472
2004-10-28,17.586
2004-10-29,17.569
2004-11-01,17.582
2004-11-03,17.578
2004-11-04,17.616
2004-11-05,17.73
2004-11-08,17.775
2004-11-09,17.743
2004-11-10,17.778
2004-11-11,17.809
2004-11-12,17.794
2004-11-16,17.795
2004-11-17,17.754
2004-11-18,17.815
2004-11-19,17.893
2004-11-22,17.941
2004-11-23,17.97
2004-11-24,18.005
2004-11-25,17.936
2004-11-26,17.916
2004-11-29,17.949
2004-11-30,17.945
2004-12-01,17.954
2004-12-02,17.968
2004-12-03,17.965
2004-12-06,17.985
