Date,Open,High,Low,Close,Volume
2000-09-15,1786.3,1786.3,1786.3,1786.3,20937000.0
2000-09-18,1713.13,1713.13,1713.13,1713.13,42333000.0
2000-09-19,1721.32,1721.32,1721.32,1721.32,59655000.0
2000-09-20,1741.48,1741.48,1741.48,1741.48,47085000.0
2000-09-21,1699.48,1699.48,1699.48,1699.48,44446000.0
2000-09-22,1687.26,1687.26,1687.26,1687.26,92852000.0
2000-09-25,1696.19,1696.19,1696.19,1696.19,33986800.0
2000-09-26,1672.37,1672.37,1672.37,1672.37,38450000.0
2000-09-27,1651.56,1651.56,1651.56,1651.56,42710000.0
2000-09-28,1679.65,1679.65,1679.65,1679.65,37306000.0
2000-09-29,1639.93,1639.93,1639.93,1639.93,47092000.0
2000-10-02,1619.19,1619.19,1619.19,1619.19,28757000.0
2000-10-03,1618.74,1618.74,1618.74,1618.74,48517000.0
2000-10-04,1641.95,1641.95,1641.95,1641.95,39021000.0
2000-10-05,1644.07,1644.07,1644.07,1644.07,54624000.0
2000-10-06,1592.99,1592.99,1592.99,1592.99,33523000.0
2000-10-09,1589.16,1589.16,1589.16,1589.16,38481000.0
2000-10-10,1585.74,1585.74,1585.74,1585.74,42933000.0
2000-10-11,1545.17,1545.17,1545.17,1545.17,52657000.0
2000-10-12,1498.34,1498.34,1498.34,1498.34,61268000.0
2000-10-13,1510.39,1510.39,1510.39,1510.39,48177000.0
2000-10-16,1498.83,1498.83,1498.83,1498.83,32833000.0
2000-10-17,1474.72,1474.72,1474.72,1474.72,50885000.0
2000-10-18,1492.78,1492.78,1492.78,1492.78,54673000.0
2000-10-19,1549.9,1549.9,1549.9,1549.9,51785000.0
2000-10-20,1541.43,1541.43,1541.43,1541.43,47564000.0
2000-10-23,1526.94,1526.94,1526.94,1526.94,41998000.0
2000-10-24,1579.11,1579.11,1579.11,1579.11,48098000.0
2000-10-25,1560.2,1560.2,1560.2,1560.2,51078000.0
2000-10-26,1585.35,1585.35,1585.35,1585.35,48194000.0
2000-10-27,1620.85,1620.85,1620.85,1620.85,47998000.0
2000-10-30,1639.26,1639.26,1639.26,1639.26,41143000.0
2000-10-31,1674.59,1674.59,1674.59,1674.59,59002000.0
2000-11-01,1676.81,1676.81,1676.81,1676.81,38468000.0
2000-11-02,1676.37,1676.37,1676.37,1676.37,
2000-11-03,1637.8,1637.8,1637.8,1637.8,44789000.0
2000-11-06,1642.88,1642.88,1642.88,1642.88,39181000.0
2000-11-07,1665.82,1665.82,1665.82,1665.82,47166000.0
