Date,Open,High,Low,Close,Volume
2016-11-28,1650.72,1691.78,1639.44,1677.23,239244192.0
2016-11-29,1680.67,1680.67,1629.89,1629.89,299122816.0
2016-11-30,1632.0,1685.49,1631.42,1667.74,461731904.0
2016-12-01,1655.04,1655.07,1553.56,1563.67,477205088.0
2016-12-02,1558.5,1586.43,1518.67,1583.54,371564992.0
2016-12-05,1584.98,1596.05,1576.77,1579.07,239275600.0
2016-12-06,1581.07,1634.79,1568.8,1612.76,331079008.0
2016-12-07,1639.5,1660.1,1624.17,1638.36,328572000.0
2016-12-08,1640.44,1656.61,1621.91,1623.75,263579600.0
2016-12-09,1623.32,1650.55,1610.5,1632.49,302845504.0
2016-12-12,1614.24,1617.53,1601.51,1604.46,276124416.0
2016-12-13,1601.13,1634.29,1594.03,1615.84,316012288.0
2016-12-14,1621.72,1627.19,1568.08,1591.33,347417504.0
2016-12-15,1562.63,1582.02,1541.22,1562.6,313472896.0
2016-12-16,1582.7,1594.26,1556.61,1556.61,327990208.0
2016-12-19,1562.69,1578.8,1535.68,1535.68,300990016.0
2016-12-20,1547.13,1564.41,1542.94,1553.09,242239696.0
2016-12-21,1567.86,1581.88,1558.66,1568.08,220513904.0
2016-12-22,1570.01,1577.53,1551.65,1560.41,261077696.0
2016-12-23,1582.84,1607.65,1582.63,1602.72,199774592.0
2016-12-26,1601.88,1622.02,1601.88,1622.02,60692000.0
2016-12-27,1613.68,1626.25,1609.61,1617.14,136559600.0
2016-12-28,1619.69,1649.83,1618.9,1644.35,172363600.0
2016-12-29,1657.22,1676.84,1640.62,1676.84,196840800.0
2016-12-30,1671.82,1671.82,1671.82,1671.82,
2017-01-02,1662.51,1662.51,1635.29,1653.93,70487000.0
2017-01-03,1649.99,1717.07,1649.76,1715.6,299230912.0
2017-01-04,1722.99,1732.54,1713.03,1725.16,227280896.0
2017-01-05,1734.4,1762.16,1723.94,1746.81,275593504.0
2017-01-06,1749.13,1750.38,1720.41,1734.32,199733600.0
2017-01-09,1727.07,1756.74,1719.92,1742.69,216549408.0
2017-01-10,1743.6,1767.4,1743.6,1757.97,227771200.0
2017-01-11,1745.59,1769.81,1723.79,1746.16,249164992.0
2017-01-12,1779.86,1837.17,1779.8,1814.04,407603808.0
2017-01-13,1809.87,1812.32,1776.29,1786.51,238829200.0
2017-01-16,1782.35,1789.57,1767.3,1783.43,140553600.0
2017-01-17,1796.34,1816.67,1777.36,1805.5,257878896.0
2017-01-18,1803.2,1809.94,1788.74,1796.16,247702400.0
2017-01-19,1792.32,1812.82,1787.41,1796.18,236670096.0
2017-01-20,1805.42,1834.0,1803.96,1820.99,282261696.0
2017-01-23,1836.31,1873.98,1836.31,1870.25,251493200.0
2017-01-24,1870.84,1884.03,1863.17,1871.55,338964608.0
2017-01-25,1868.4,1868.4,1868.4,1868.4,
2017-01-26,1865.4,1886.77,1865.4,1867.15,316038016.0
2017-01-27,1881.83,1893.55,1873.38,1885.53,231098592.0
2017-01-30,1891.51,1891.97,1848.63,1852.8,200316096.0
2017-01-31,1859.58,1875.25,1841.59,1849.15,239466896.0
2017-02-01,1855.18,1876.92,1848.02,1848.02,285822016.0
2017-02-02,1866.47,1878.25,1843.63,1856.79,269883904.0
2017-02-03,1851.5,1891.59,1841.96,1877.65,310529312.0
2017-02-06,1878.2,1889.31,1844.21,1846.94,225723200.0
2017-02-07,1839.91,1865.99,1838.67,1846.55,251400496.0
2017-02-08,1850.92,1874.29,1836.22,1870.81,281397088.0
2017-02-09,1875.19,1884.24,1859.69,1871.83,244343296.0
2017-02-10,1874.78,1917.56,1874.05,1908.99,306246592.0
2017-02-13,1907.96,1939.3,1907.96,1933.06,278913600.0
2017-02-14,1941.15,1951.32,1906.23,1920.84,309155200.0
2017-02-15,1944.9,2003.11,1944.9,1997.89,383477088.0
2017-02-16,2002.73,2022.57,1972.23,1992.93,323787200.0
2017-02-17,1976.37,1976.93,1946.81,1961.84,253775008.0
2017-02-20,1965.14,1998.64,1965.14,1994.86,191223696.0
2017-02-21,1986.73,2002.41,1983.7,1998.01,270903712.0
2017-02-22,2004.52,2011.04,1988.92,2000.81,300497600.0
2017-02-23,2008.11,2040.84,1973.44,1977.89,345478304.0
2017-02-24,1961.68,1961.68,1919.56,1930.51,273632992.0
2017-02-27,1923.28,1923.28,1923.28,1923.28,
2017-02-28,1923.28,1923.28,1923.28,1923.28,
2017-03-01,1923.3,1949.56,1916.46,1925.9,218428992.0
2017-03-02,1930.87,1935.23,1866.81,1889.94,282509792.0
2017-03-03,1884.1,1924.48,1879.33,1905.64,234042496.0
2017-03-06,1925.63,1933.09,1892.64,1908.89,286188992.0
2017-03-07,1906.24,1918.36,1886.28,1889.66,255914896.0
2017-03-08,1874.9,1876.5,1819.03,1843.35,301147200.0
2017-03-09,1828.16,1835.8,1801.83,1819.28,310779296.0
2017-03-10,1820.96,1866.76,1820.96,1835.8,314463904.0
2017-03-13,1838.86,1865.84,1838.46,1862.0,192479200.0
2017-03-14,1853.57,1856.61,1823.96,1833.36,261002000.0
2017-03-15,1827.76,1912.06,1823.17,1875.57,344606784.0
2017-03-16,1912.38,1921.22,1881.93,1886.14,261518304.0
2017-03-17,1893.36,1906.01,1850.72,1851.08,486924512.0
2017-03-20,1850.56,1898.16,1837.76,1887.4,333743488.0
2017-03-21,1892.13,1896.55,1820.65,1831.55,335189504.0
2017-03-22,1821.94,1855.15,1807.51,1845.28,371214112.0
2017-03-23,1825.59,1833.41,1807.38,1817.27,318222496.0
2017-03-24,1811.86,1844.58,1811.8,1838.48,234258000.0
2017-03-27,1832.93,1843.66,1804.02,1843.66,231006496.0
2017-03-28,1840.63,1853.77,1831.31,1850.31,303105792.0
2017-03-29,1848.15,1886.44,1846.76,1883.65,331641312.0
2017-03-30,1876.06,1884.21,1855.97,1874.53,215894400.0
2017-03-31,1849.46,1878.89,1834.82,1834.82,242443696.0
2017-04-03,1868.44,1883.71,1861.23,1877.19,273520000.0
2017-04-04,1866.06,1906.26,1862.68,1889.01,196529904.0
2017-04-05,1909.37,1921.24,1859.52,1877.73,274495904.0
2017-04-06,1865.16,1872.33,1819.15,1847.9,255193792.0
2017-04-07,1836.38,1871.71,1827.06,1851.74,256339392.0
2017-04-10,1851.35,1857.18,1827.16,1842.57,279571392.0
2017-04-11,1851.49,1856.13,1800.6,1830.15,292397088.0
2017-04-12,1836.35,1836.35,1815.82,1821.43,384962816.0
2017-04-13,1833.89,1837.61,1791.22,1804.3,296346816.0
2017-04-14,1804.3,1804.3,1804.3,1804.3,
2017-04-17,1814.43,1861.97,1813.77,1858.41,279621184.0
2017-04-18,1863.21,1872.73,1838.07,1860.53,274414912.0
2017-04-19,1845.76,1856.75,1805.35,1813.85,264698400.0
2017-04-20,1814.81,1829.67,1792.99,1818.14,252352896.0
2017-04-21,1814.96,1814.96,1814.96,1814.96,
2017-04-24,1830.41,1852.15,1830.34,1839.98,293508512.0
2017-04-25,1818.99,1847.56,1806.61,1844.05,273868896.0
2017-04-26,1832.65,1838.25,1807.91,1822.81,280780992.0
2017-04-27,1831.6,1843.2,1803.21,1821.06,281907904.0
2017-04-28,1807.08,1839.58,1801.71,1826.72,275638112.0
2017-05-01,1839.28,1839.28,1839.28,1839.28,
2017-05-02,1832.6,1895.33,1832.6,1881.89,327228288.0
2017-05-03,1891.34,1891.78,1862.16,1871.54,308869088.0
2017-05-04,1858.43,1858.43,1811.16,1823.24,339275584.0
2017-05-05,1824.66,1852.93,1820.75,1848.24,233960704.0
2017-05-08,1840.17,1850.67,1821.64,1834.09,209464304.0
2017-05-09,1835.8,1868.4,1835.34,1860.96,228883008.0
2017-05-10,1872.5,1909.53,1872.04,1902.38,292021792.0
2017-05-11,1904.18,1923.06,1897.69,1911.05,269388416.0
2017-05-12,1928.12,1958.16,1928.12,1947.76,362825792.0
2017-05-15,1967.95,1977.1,1961.34,1971.72,292299488.0
2017-05-16,1979.18,1988.79,1966.69,1985.92,334219584.0
2017-05-17,1976.89,1976.95,1922.35,1946.29,279576608.0
2017-05-18,1928.44,1928.51,1619.25,1660.98,1026419392.0
2017-05-19,1666.61,1736.71,1665.36,1703.74,558650496.0
2017-05-22,1709.95,1710.4,1648.2,1680.66,531073984.0
2017-05-23,1697.25,1729.0,1694.92,1723.61,433218400.0
2017-05-24,1725.29,1765.34,1723.86,1738.95,389290912.0
2017-05-25,1732.51,1749.67,1706.56,1723.01,377217696.0
2017-05-26,1734.74,1764.84,1733.28,1763.95,362355008.0
2017-05-29,1752.56,1752.56,1736.91,1745.56,152513904.0
2017-05-30,1750.73,1760.61,1747.39,1752.88,207584896.0
2017-05-31,1763.9,1764.55,1731.33,1731.73,452761888.0
2017-06-01,1742.33,1755.12,1714.07,1727.18,313043584.0
2017-06-02,1727.02,1740.13,1712.07,1726.78,273640384.0
2017-06-05,1711.82,1722.27,1694.43,1702.63,227814800.0
2017-06-06,1703.35,1731.72,1702.91,1718.72,287073408.0
2017-06-07,1721.57,1742.77,1714.78,1729.8,269819104.0
2017-06-08,1723.97,1725.6,1701.22,1709.98,258296000.0
2017-06-09,1719.06,1726.92,1686.0,1698.5,292564896.0
2017-06-12,1694.5,1696.59,1651.5,1676.27,291651296.0
2017-06-13,1664.87,1676.84,1654.62,1667.84,234068608.0
2017-06-14,1684.88,1709.81,1677.6,1690.97,409563712.0
2017-06-15,1695.15,1695.15,1695.15,1695.15,
2017-06-16,1683.63,1685.62,1669.07,1681.03,498961312.0
2017-06-19,1669.21,1700.29,1668.21,1690.5,258947392.0
2017-06-20,1682.44,1683.54,1636.08,1646.41,365971008.0
2017-06-21,1643.35,1653.87,1628.39,1639.03,299653504.0
2017-06-22,1633.57,1655.04,1631.96,1646.04,289112288.0
2017-06-23,1648.46,1654.51,1637.67,1644.39,247447696.0
2017-06-26,1654.98,1692.43,1654.79,1682.44,231846096.0
2017-06-27,1681.79,1689.01,1655.06,1668.05,292907488.0
2017-06-28,1676.07,1692.72,1660.74,1681.25,233422896.0
2017-06-29,1688.92,1702.94,1669.1,1691.95,257558000.0
2017-06-30,1690.15,1706.62,1687.95,1700.18,237140496.0
2017-07-03,1704.63,1720.78,1703.41,1712.91,181830704.0
2017-07-04,1710.91,1716.6,1704.76,1710.7,87890200.0
2017-07-05,1705.46,1720.76,1684.12,1699.59,300792288.0
2017-07-06,1710.82,1712.28,1685.29,1685.5,278139808.0
2017-07-07,1701.13,1714.08,1682.35,1691.66,271824288.0
2017-07-10,1706.31,1731.21,1705.78,1727.14,207596096.0
2017-07-11,1731.04,1757.41,1728.04,1754.92,229673296.0
2017-07-12,1772.34,1810.68,1764.05,1792.16,382336608.0
2017-07-13,1805.21,1818.63,1804.55,1815.2,290103392.0
2017-07-14,1824.19,1841.02,1823.82,1832.93,256655200.0
2017-07-17,1836.6,1840.24,1828.61,1832.55,211292608.0
2017-07-18,1836.04,1853.16,1829.24,1845.41,205523008.0
2017-07-19,1854.78,1863.9,1838.9,1846.56,224802704.0
2017-07-20,1851.34,1865.45,1846.88,1850.33,195190096.0
2017-07-21,1858.22,1865.55,1840.05,1851.5,189842800.0
2017-07-24,1843.79,1851.43,1838.67,1849.76,172521792.0
2017-07-25,1848.17,1871.37,1846.51,1856.44,253445104.0
2017-07-26,1850.63,1857.15,1836.81,1836.81,266199600.0
2017-07-27,1845.05,1862.64,1844.14,1849.14,227291696.0
2017-07-28,1851.28,1868.35,1843.09,1863.06,218078000.0
2017-07-31,1863.6,1891.24,1863.6,1884.62,234938400.0
2017-08-01,1888.88,1912.54,1887.96,1909.87,243746208.0
2017-08-02,1896.22,1929.69,1889.55,1916.12,326363296.0
2017-08-03,1925.76,1929.69,1907.47,1910.67,236967696.0
