Date,Bid Price
2015-09-04,8.342
2015-09-08,8.601
2015-09-09,8.519
2015-09-10,8.464
2015-09-11,8.425
2015-09-14,8.474
2015-09-15,8.506
2015-09-16,8.436
2015-09-17,8.349
2015-09-18,8.178
2015-09-21,8.106
2015-09-22,8.341
2015-09-23,8.332
2015-09-24,8.384
2015-09-25,8.33
2015-09-28,8.563
2015-09-29,8.539
2015-09-30,8.472
2015-10-01,8.415
2015-10-02,8.282
2015-10-05,8.102
2015-10-06,8.092
2015-10-07,8.053
2015-10-08,7.982
2015-10-09,7.989
2015-10-13,8.063
2015-10-14,8.057
2015-10-15,8.013
2015-10-16,7.925
2015-10-19,7.982
2015-10-21,8.006
2015-10-22,7.925
2015-10-23,7.915
2015-10-26,7.932
2015-10-27,7.949
2015-10-28,7.951
2015-10-29,7.983
2015-10-30,8.015
2015-11-03,8.006
2015-11-04,8.026
2015-11-05,7.993
2015-11-06,8.041
2015-11-09,8.097
2015-11-10,8.172
2015-11-11,8.22
2015-11-12,8.287
2015-11-13,8.289
2015-11-17,8.271
2015-11-18,8.331
2015-11-19,8.363
2015-11-20,8.383
2015-11-23,8.389
2015-11-24,8.395
2015-11-25,8.419
2015-11-26,8.472
2015-11-27,8.489
2015-11-30,8.467
2015-12-01,8.395
2015-12-02,8.358
2015-12-03,8.445
2015-12-04,8.466
2015-12-07,8.595
2015-12-10,8.65
2015-12-11,8.731
2015-12-14,8.883
2015-12-15,8.868
2015-12-16,8.828
2015-12-17,8.854
2015-12-18,8.843
2015-12-21,8.817
2015-12-22,8.77
2015-12-23,8.715
2015-12-24,8.691
2015-12-28,8.708
2015-12-29,8.709
2015-12-30,8.662
2015-12-31,8.657
2016-01-04,8.737
2016-01-05,8.85
2016-01-06,8.833
2016-01-07,8.861
2016-01-08,8.86
2016-01-12,8.875
2016-01-13,8.879
2016-01-14,8.824
2016-01-15,8.828
2016-01-18,8.922
2016-01-19,8.994
2016-01-20,9.046
2016-01-21,9.06
2016-01-22,8.994
2016-01-25,9.106
2016-01-26,9.071
2016-01-27,9.047
2016-01-28,9.022
2016-01-29,8.976
2016-02-01,8.997
2016-02-02,9.01
2016-02-03,9.024
2016-02-04,9.009
2016-02-05,8.99
2016-02-08,9.045
2016-02-09,9.112
2016-02-10,9.131
2016-02-11,9.291
2016-02-12,9.399
2016-02-15,9.219
2016-02-16,9.23
2016-02-17,9.192
2016-02-18,9.148
2016-02-19,9.132
2016-02-22,9.113
2016-02-23,9.013
2016-02-24,9.049
2016-02-25,9.03
2016-02-26,8.983
2016-02-29,8.975
2016-03-01,8.854
2016-03-02,8.844
2016-03-03,8.778
2016-03-04,8.792
2016-03-07,8.605
2016-03-08,8.682
2016-03-09,8.682
2016-03-10,8.533
2016-03-11,8.445
2016-03-14,8.497
2016-03-15,8.553
2016-03-16,8.517
2016-03-17,8.207
2016-03-18,8.232
2016-03-22,8.268
2016-03-23,8.294
2016-03-28,8.32
2016-03-29,8.317
2016-03-30,8.287
2016-03-31,8.2
2016-04-01,8.16
2016-04-04,8.121
2016-04-05,8.117
2016-04-06,8.135
2016-04-07,8.224
2016-04-08,8.261
2016-04-11,8.268
2016-04-12,8.222
2016-04-13,8.193
2016-04-14,8.163
2016-04-15,8.17
2016-04-18,8.185
2016-04-19,8.068
2016-04-20,8.097
2016-04-21,8.122
2016-04-22,8.15
2016-04-25,8.166
2016-04-26,8.183
2016-04-27,8.144
2016-04-28,8.103
2016-04-29,8.104
2016-05-02,8.144
2016-05-03,8.111
2016-05-04,8.12
2016-05-05,8.133
2016-05-06,8.108
2016-05-10,8.131
2016-05-11,8.08
2016-05-12,8.064
2016-05-13,8.0
2016-05-16,8.029
2016-05-17,8.014
2016-05-18,8.021
2016-05-19,8.072
2016-05-20,8.065
2016-05-23,8.11
2016-05-24,8.118
2016-05-25,8.1
2016-05-26,8.063
2016-05-27,8.08
2016-05-31,8.042
2016-06-01,8.019
2016-06-02,7.903
2016-06-03,7.885
2016-06-07,7.899
2016-06-08,7.891
2016-06-09,7.911
2016-06-10,7.951
2016-06-13,7.975
2016-06-14,7.897
2016-06-15,7.9
2016-06-16,7.935
2016-06-17,7.988
2016-06-20,7.984
2016-06-21,8.014
2016-06-22,8.124
2016-06-23,8.119
2016-06-24,8.107
2016-06-27,7.982
2016-06-28,7.863
2016-06-29,7.519
2016-06-30,7.594
2016-07-01,7.519
2016-07-05,7.564
2016-07-06,7.567
2016-07-07,7.602
2016-07-08,7.545
2016-07-11,7.559
2016-07-12,7.58
2016-07-13,7.6
2016-07-14,7.603
2016-07-15,7.636
2016-07-18,7.672
2016-07-19,7.712
2016-07-21,7.53
2016-07-22,7.431
2016-07-25,7.497
2016-07-26,7.542
2016-07-27,7.582
2016-07-28,7.589
2016-07-29,7.601
2016-08-01,7.68
2016-08-02,7.679
2016-08-03,7.665
2016-08-04,7.634
2016-08-05,7.595
2016-08-09,7.552
2016-08-10,7.546
2016-08-11,7.54
2016-08-12,7.524
2016-08-16,7.508
2016-08-17,7.457
2016-08-18,7.335
2016-08-19,7.339
2016-08-22,7.323
2016-08-23,7.306
2016-08-24,7.31
2016-08-25,7.273
2016-08-26,7.298
2016-08-29,7.453
2016-08-30,7.497
2016-08-31,7.504
2016-09-01,7.42
2016-09-02,7.357
2016-09-06,7.124
2016-09-07,6.987
2016-09-08,6.985
2016-09-09,7.086
2016-09-12,7.129
2016-09-13,7.216
2016-09-14,7.25
2016-09-15,7.171
2016-09-16,7.223
2016-09-19,7.279
2016-09-20,7.211
2016-09-21,7.157
2016-09-22,7.089
2016-09-23,7.041
2016-09-26,7.105
2016-09-27,7.056
2016-09-28,7.002
2016-09-29,7.017
2016-09-30,7.003
2016-10-03,7.167
2016-10-04,7.231
2016-10-05,7.184
2016-10-06,7.188
2016-10-07,7.224
2016-10-10,7.077
2016-10-11,7.047
2016-10-12,7.062
2016-10-13,7.045
2016-10-14,7.048
2016-10-18,7.103
2016-10-19,7.145
2016-10-20,7.141
2016-10-21,7.211
2016-10-24,7.22
2016-10-25,7.289
2016-10-26,7.258
2016-10-27,7.265
2016-10-28,7.293
2016-11-01,7.39
2016-11-02,7.395
